NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
1141.7458,374.68365,0.9448894,1147.0837,365.19128,0.90153277,1140.9028,360.51202,0.97722274,1115.696,346.1037,0.76435363,1114.1743,342.84235,0.9758022,1073.781,399.86505,0.8160957,1071.2485,401.64954,0.93223953,1078.0837,511.02985,0.75206536,1079.3257,512.3422,0.97342765,1105.3479,597.022,0.82710075,1119.4146,598.62177,0.9324349,1056.2761,587.72095,0.75382483,1056.6091,591.06195,0.83295953,1054.363,734.4748,0.8556314,1060.2278,738.6921,0.9049328,1040.9316,864.3566,0.9738157,1036.0955,873.5285,0.93774676
1142.698,376.39502,0.9472375,1148.5181,367.26923,0.907683,1142.0251,362.26196,0.9773947,1117.7771,347.341,0.7523209,1115.3376,343.3534,0.96946764,1074.7698,400.76288,0.80133307,1073.3035,402.7702,0.9286357,1077.7678,512.2862,0.7411672,1079.7009,513.665,0.9700181,1105.4485,598.34357,0.81604266,1118.4949,599.8279,0.93952584,1054.8406,586.6617,0.7686137,1055.4202,589.8265,0.84935164,1055.69,733.113,0.8478943,1061.5867,737.3354,0.9054491,1041.3479,863.5798,0.9714702,1036.0049,872.64984,0.92998815
1147.3584,380.691,0.9295906,1153.8474,372.03146,0.92888546,1147.4834,366.5341,0.94253975,1123.8689,350.99326,0.7456992,1120.5408,345.8348,0.97082484,1077.9478,402.90433,0.79744726,1076.8467,404.61374,0.9318453,1073.5889,514.3319,0.68532646,1080.4634,516.2787,0.9502986,1102.9395,601.2416,0.7628936,1115.8308,605.05615,0.9218098,1052.0024,587.897,0.76862013,1053.9338,590.8937,0.85627174,1057.333,734.3606,0.84982145,1062.2869,738.1682,0.9123945,1041.5181,863.8981,0.9483558,1036.1299,872.64514,0.9625662
1157.3477,391.59277,0.9422575,1163.9319,382.81293,0.93322796,1158.4993,377.70172,0.9722527,1133.2659,357.0688,0.7298025,1133.7319,355.92578,0.9321804,1081.322,405.53284,0.77126586,1085.3936,411.0063,0.9758442,1068.4724,513.5766,0.5404392,1078.5527,518.4158,1.003936,1097.0146,602.3587,0.61620855,1105.0408,611.0539,0.93771607,1042.9749,584.03424,0.72125983,1050.655,587.49164,0.85448647,1055.2207,732.6386,0.8532338,1065.6282,737.92145,0.9006748,1039.4233,863.7874,0.9624347,1038.3591,872.1713,0.964452
1159.07,397.7804,0.9707832,1166.0402,388.89624,0.9319427,1160.172,383.73608,0.99855113,1135.8522,360.985,0.691175,1135.8536,360.4773,0.9521425,1082.9801,407.1292,0.79154027,1088.8425,412.35107,0.95165503,1073.6868,516.52026,0.6493087,1078.0187,520.6666,0.988657,1095.1167,607.12146,0.66507447,1100.0377,613.63855,0.93073857,1041.1995,585.6105,0.7347703,1047.357,588.63806,0.82753813,1059.4197,734.34045,0.81243694,1066.5531,738.58325,0.89636695,1041.8931,864.234,0.9505862,1038.3091,873.1207,0.9473036
1167.8079,409.55743,0.9743108,1174.936,400.951,0.9431205,1170.8464,395.96735,0.99507546,1146.2576,371.17657,0.71453345,1148.511,372.13892,0.9880078,1088.074,411.14813,0.78371644,1095.9712,418.09747,0.9444563,1052.854,512.17365,0.5382099,1074.4888,521.5721,0.9846363,1082.4644,610.85077,0.6370919,1086.4011,615.87714,0.94894063,1036.0195,588.7908,0.72573036,1042.7739,591.8427,0.82320786,1060.9204,738.2485,0.7743521,1068.1062,741.8737,0.8726112,1042.356,865.5892,0.9817171,1038.7092,872.7033,0.93966454
1181.8798,431.80948,0.9503679,1189.9491,424.07657,0.9195279,1185.8225,417.7233,0.9519358,1163.885,392.67062,0.68942595,1165.5225,391.09195,0.94763565,1100.7389,425.82986,0.8076998,1107.2368,433.43875,0.9539863,1061.5602,525.9075,0.5571773,1066.1583,529.0936,0.96592134,1072.2905,609.9833,0.6613532,1056.9658,625.78784,0.95923847,1032.8131,595.2634,0.680087,1034.1167,597.9956,0.7961149,1071.5475,739.6874,0.7615969,1071.3071,741.99,0.86720836,1043.6268,865.3867,0.968955,1037.844,873.01953,0.9424244
1185.699,442.99814,0.96099734,1194.2765,435.45615,0.92083126,1191.1714,429.6011,0.98569185,1169.7596,401.24667,0.692828,1173.7365,402.3328,0.9696263,1102.9921,430.10318,0.798187,1112.0565,436.87424,0.95711154,1034.1622,520.4487,0.5566704,1063.5591,529.7101,0.9298196,1051.9216,610.65,0.43747365,1045.5396,623.9469,0.97382057,1025.7257,591.1553,0.6674961,1037.6216,597.80896,0.72938144,1068.7971,738.1937,0.7649808,1072.1724,741.83716,0.8399512,1043.409,865.0537,0.96678424,1037.9816,874.8622,0.9049698
1192.4471,467.01935,0.9353924,1201.1858,460.46753,0.9278158,1198.2139,454.45563,0.93672633,1179.3607,421.27997,0.6571373,1183.5889,425.6579,0.95770216,1112.2303,442.59912,0.79849845,1121.9023,453.9275,0.92619157,1029.2493,516.15674,0.74003446,1055.6178,534.251,0.9735949,986.76654,600.17163,0.836936,1019.3564,620.5526,0.9300729,1028.089,606.9041,0.58296204,1035.8083,614.236,0.739892,1070.299,745.52185,0.7657373,1069.5872,750.45154,0.82354146,1045.883,865.74866,0.990278,1036.8639,875.47644,0.9021075
1198.7007,508.06937,0.92913854,1207.8555,502.88492,0.9201077,1205.8694,496.7548,0.9263347,1193.5312,459.92886,0.66829574,1195.5708,466.4705,0.9608051,1123.2451,469.79825,0.7702286,1130.8083,484.98532,0.90462357,1026.7375,512.9739,0.79750574,1044.2656,535.19836,0.9121304,960.139,562.34424,0.94802463,978.4202,605.01086,0.83827627,1026.854,615.3884,0.62393653,1024.1365,620.04553,0.82375467,1081.3171,741.4801,0.82590413,1071.6272,747.35645,0.863488,1045.4797,866.24524,0.9596402,1037.294,875.0365,0.9059713
