NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
580.51166,436.46185,0.92030704,581.64233,433.01813,0.91696465,581.7434,432.9992,0.7496667,584.5486,434.7426,0.9162717,600.26086,432.69763,0.9206836,582.7769,458.68744,0.8745321,609.1322,455.2168,0.91913545,553.13275,478.50055,0.88076925,579.30975,465.0421,0.7114325,547.0141,469.86066,0.9131844,558.4093,465.2746,0.7413107,592.8643,526.5238,0.77620053,611.0099,523.6357,0.7383668,592.26086,573.79694,0.8404942,603.1621,571.5246,0.85327786,595.4471,618.06885,0.873937,604.86017,613.0977,0.87802434
577.29425,436.88043,0.86573315,578.82214,433.18634,0.8618834,578.9554,433.1211,0.7022145,582.47394,435.27716,0.94945943,598.72314,433.17755,0.89604247,583.91724,458.67963,0.85566837,607.15356,455.40045,0.9216393,552.4688,482.19904,0.76377594,572.079,465.89374,0.75291,546.2927,474.84796,0.8835883,554.6044,470.5774,0.75644785,593.1097,528.7679,0.79147184,609.92505,526.06055,0.70407045,590.4931,575.13873,0.8686216,602.53064,573.70245,0.8495778,594.64703,618.5726,0.87767684,604.51556,613.2624,0.87741005
574.9518,439.75262,0.90562487,576.556,436.037,0.91230565,576.02966,435.93164,0.76313424,581.11316,437.58313,0.94197476,596.06177,435.1209,0.85817707,580.9343,461.2834,0.88326854,605.6301,456.87262,0.924874,552.4226,488.19702,0.81084096,569.99133,469.44537,0.7059413,547.53174,482.1576,0.8795967,554.99414,476.2708,0.7633623,590.8042,530.58826,0.7955142,610.6227,527.4571,0.70766973,587.8972,575.68567,0.8337194,602.48474,573.9642,0.8558651,593.5062,618.8278,0.87868303,604.6814,613.1607,0.858276
572.60205,442.43024,0.90446633,574.06006,438.73828,0.9065795,573.9567,438.50354,0.74711335,578.35803,440.614,0.9125339,594.6959,437.66443,0.89080524,580.7106,463.72797,0.8489174,604.56946,459.66986,0.90710986,557.14026,487.3822,0.61866367,568.61334,475.643,0.5635495,549.7125,490.10114,0.85839164,555.7031,484.33722,0.67079663,590.4381,531.4802,0.7803755,609.36127,529.1146,0.6874729,584.3118,573.4935,0.8389415,600.8139,572.5974,0.8367989,593.4671,618.45966,0.8531755,604.03937,612.8044,0.8684381
571.12146,447.8457,0.9429469,572.15955,444.06268,0.9463414,572.10974,443.82715,0.7945169,577.1754,445.6402,0.94425344,592.9779,442.42407,0.8859079,579.13245,467.89984,0.88418967,603.8672,463.7486,0.94206715,558.9502,490.66144,0.80500567,565.9761,483.80145,0.47916317,542.7919,504.4682,0.8196379,551.73206,496.12677,0.43520066,589.4275,533.3649,0.7785139,610.09924,531.0794,0.69774324,580.83264,573.27704,0.88970345,598.32654,571.24,0.8578377,592.8104,617.9516,0.8709773,604.0121,612.8806,0.84676087
570.0737,450.6486,0.92578125,571.2177,446.99313,0.9501543,570.8232,446.6663,0.8010682,576.25964,448.87686,0.93321955,591.89825,445.37827,0.9074557,578.60706,470.87875,0.877066,603.6378,466.56223,0.9616332,561.4761,496.76096,0.8718778,599.1488,496.68448,0.2984798,544.0763,519.3089,0.8693373,549.8069,513.35144,0.20345044,588.6339,533.9597,0.7991098,609.0562,532.1626,0.7376237,576.30066,571.6395,0.9123635,595.2221,570.42065,0.8818233,592.551,617.6953,0.86937064,603.93884,612.83875,0.83750355
568.8947,455.02826,0.9244807,570.1581,451.25275,0.95748556,569.3498,450.95685,0.8494512,575.70483,452.82,0.92194086,589.9115,449.08673,0.8802301,577.88324,475.06573,0.8905248,602.7816,469.76776,0.9371915,563.1567,505.91113,0.86192906,597.40674,503.2932,0.7522694,548.7198,531.8479,0.830842,575.34204,522.23987,0.88422096,587.88855,537.2752,0.75135094,607.82245,535.2169,0.75227654,572.2788,573.20294,0.9041008,592.301,571.57465,0.8986966,591.56146,617.83923,0.85763085,603.41925,612.5095,0.8515477
568.2717,458.2375,0.956483,568.9346,454.20142,0.961939,568.6516,453.88318,0.8469353,574.41675,455.1383,0.94510007,588.94556,450.88092,0.90038025,577.692,477.14453,0.88959444,603.51575,471.57062,0.950912,566.79517,511.85938,0.8657526,606.86597,504.8343,0.5845871,552.9292,543.1971,0.8964674,602.5718,534.6186,0.27234322,587.6395,539.4528,0.7770575,608.07153,537.1501,0.7669864,569.3174,574.4235,0.94327956,590.3174,571.8617,0.9372149,591.8788,617.607,0.8726375,603.09937,612.37177,0.8213231
568.0758,457.52258,0.93104136,568.65936,453.61914,0.9269526,568.76416,453.1192,0.8018483,573.462,455.46503,0.9253115,589.0951,451.0569,0.8966709,577.88153,478.52753,0.88390315,603.1964,472.35217,0.956368,570.1812,515.1734,0.85276866,607.7307,506.69745,0.6486464,558.9134,546.2159,0.85720617,604.48926,538.1031,0.32956642,584.81586,542.0575,0.77064264,605.3826,538.75024,0.7741126,567.3373,575.8209,0.9263937,589.83124,573.14056,0.9234189,591.78735,616.6679,0.88354355,603.198,612.3946,0.84098345
568.5869,457.61728,0.931636,569.00836,453.5892,0.9376075,569.1282,453.1636,0.8205892,574.1876,454.5964,0.91746926,588.6963,450.1285,0.9008095,578.42163,477.4628,0.88293874,603.31274,472.03403,0.9388354,574.24884,514.1418,0.6918873,605.9186,506.12094,0.6482287,568.1364,521.91144,0.54901147,575.6069,516.13116,0.57684344,585.2013,540.61554,0.76612294,605.185,537.83307,0.7661176,567.01135,574.43567,0.8969325,589.36536,572.18164,0.92889833,591.7286,616.4871,0.88646877,603.5366,612.21265,0.8311573
568.06195,454.3647,0.92233527,569.1066,450.54138,0.9807595,568.3845,450.10327,0.82168794,574.4526,451.8222,0.91988045,588.24756,448.00244,0.85784864,577.2822,472.8811,0.9402864,602.5599,468.15002,0.9404125,572.98944,508.9319,0.794613,614.3951,494.66785,0.91982055,568.1186,537.7694,0.84545183,623.41364,517.3437,0.9085702,584.19,537.5148,0.80073214,604.3097,535.26056,0.7754233,568.01483,573.1892,0.9040183,590.21814,570.64264,0.9392481,590.14594,615.8769,0.85694337,603.16595,611.87555,0.84497786
567.78064,448.13834,0.89013195,568.7472,444.18216,0.90203404,568.79297,443.8002,0.7339897,572.76685,445.57706,0.9425173,588.7804,441.72275,0.9262941,578.26855,467.20126,0.91118693,601.7451,462.8743,0.9545605,574.0575,495.86862,0.85611063,616.17334,485.56082,0.93114734,571.822,520.0667,0.91406643,631.74915,504.83633,0.9280827,586.7623,531.62994,0.79313886,605.63403,529.8278,0.79972196,571.04065,571.5944,0.91845953,591.95276,568.4374,0.9239644,590.38306,615.74164,0.8681499,602.7739,610.7746,0.8475063
567.9092,443.92365,0.87841433,568.7403,439.80255,0.8956082,568.6508,439.56097,0.722388,573.0366,440.58624,0.9256861,588.26526,436.32098,0.92003185,578.737,461.60687,0.87898874,602.5038,457.9461,0.92627245,576.3022,488.1845,0.6767546,619.036,478.42773,0.8991045,574.7459,507.06317,0.5864897,636.4662,494.0976,0.9125171,586.55396,526.56006,0.78052306,604.3292,524.91406,0.7630755,575.5757,569.31555,0.89235044,596.1048,567.8152,0.8790263,590.4627,614.5968,0.85722727,603.00916,609.6414,0.85639596
