NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
415.17566,753.40625,0.9545762,411.60205,745.2279,0.9322187,407.62476,745.2632,0.9551221,385.09607,752.2012,0.73980135,388.52484,751.30945,0.9724114,379.50922,800.68494,0.8579222,391.26617,796.4592,0.9553512,433.54004,865.46106,0.9142471,452.70514,841.99304,0.953186,503.0421,873.5154,0.99151874,521.65967,851.5326,0.99784076,375.4146,943.34937,0.73977447,379.06018,943.15125,0.86460125,392.30505,1059.9652,0.9180319,394.57947,1060.7667,0.927529,388.66302,1172.9038,0.92733777,390.54523,1177.696,0.9636667
415.82,756.57263,0.98015,413.011,748.24585,0.9335574,409.0385,748.02783,0.98335123,388.4488,753.72974,0.78923535,390.24274,752.71814,0.9630153,383.2281,801.093,0.85031956,392.45386,796.94604,0.96712756,439.10974,865.97156,0.97286284,453.3684,843.92395,0.8961116,504.85626,877.98425,0.9442874,517.32587,858.4829,0.9598049,373.60297,944.81995,0.78314936,377.93536,945.00464,0.876546,394.7057,1058.5024,0.91074127,398.23395,1059.4863,0.9789359,387.86957,1171.6741,0.94250965,390.22717,1177.1559,0.9472244
418.5105,758.59607,0.98573756,415.35315,750.48486,0.9304167,412.78796,749.76965,0.9720118,389.24634,757.35034,0.77651715,394.54382,754.9668,0.9810204,382.95697,804.5526,0.8119093,393.7719,799.50635,0.95700884,430.10645,876.3108,0.93800795,446.35925,857.0791,0.92932916,496.32538,890.5325,0.9497124,512.18646,874.5365,0.94517595,373.16626,947.2805,0.77162075,375.9568,947.53296,0.88829714,398.2141,1058.1392,0.92539656,401.09607,1059.2963,0.9495564,389.43768,1171.7452,0.9036453,390.28125,1177.9185,0.92567986
420.60913,762.77246,0.9410373,417.48035,754.8873,0.9153848,414.71857,754.32544,0.969197,391.7787,762.00366,0.7996588,396.66913,759.6494,0.9603361,385.2198,807.3379,0.8641136,397.52106,804.7042,0.962178,431.43567,887.79285,1.0657811,442.56097,870.10657,0.95460784,490.97723,909.3618,1.0016154,503.24854,892.3828,0.95356375,367.7574,949.5808,0.78292596,374.34882,950.43787,0.8802337,404.07214,1056.4557,0.8928733,406.35663,1057.5192,0.95606035,388.46912,1171.7081,0.89772797,390.62958,1177.2487,0.92603457
425.14246,770.1082,0.9689615,421.78558,761.9163,0.9032917,419.11877,761.6967,0.9737352,393.46887,768.6414,0.78506875,402.19727,766.75714,0.9674783,387.30493,815.6586,0.8931688,399.6996,814.67914,0.96379733,423.32397,900.4462,0.9671825,438.35028,885.29266,0.9465692,470.90228,937.4914,0.96751904,496.7384,925.65643,0.94308746,367.03174,954.3659,0.76186407,372.84534,955.15594,0.88786685,410.30774,1058.7476,0.8691274,413.583,1059.5906,0.95588255,389.8728,1173.0488,0.90620124,392.07513,1178.292,0.9516091
428.66138,777.99146,0.95014495,425.4615,769.8568,0.94269353,421.8543,769.9828,0.96376836,400.77203,776.9794,0.7508694,403.8639,776.209,0.96973,387.4754,823.9436,0.83594817,402.373,823.4419,0.96078664,404.886,913.3695,0.87365746,428.58435,900.54663,0.9256376,443.82373,962.7224,0.91645324,479.05005,955.3816,0.8455998,365.2862,959.14954,0.762565,370.61456,960.3181,0.85789955,413.544,1062.3419,0.91705745,416.74133,1063.1936,0.967938,391.29102,1174.6226,0.88774455,391.37543,1180.2358,0.967108
433.85614,786.8863,0.9756116,430.1449,778.76605,0.9112988,427.8756,778.31244,0.9743743,401.09235,785.94586,0.798168,411.8349,783.61285,0.9562062,390.43762,829.26544,0.8708279,404.1978,829.0358,0.9334856,404.44128,910.7071,0.6825901,418.30164,910.0181,0.95540535,417.5072,959.79706,0.40560216,448.0229,980.58356,0.95477766,359.2763,963.46,0.7503057,370.55627,965.41766,0.86399424,414.97498,1066.7771,0.8247726,416.95837,1069.7615,0.94490343,391.72137,1178.2319,0.90938187,392.0869,1185.2019,0.9675734
436.65063,790.83356,0.97700906,433.0979,783.9305,0.9305096,431.63892,783.9057,1.0037649,406.09283,792.6337,0.77069217,415.79236,790.94464,0.9515064,391.48163,833.60614,0.8776045,408.23114,834.3704,0.9214578,397.71082,911.1425,0.6851363,402.9057,907.9058,0.92140347,410.48138,968.7779,0.39597583,407.32074,987.1368,0.96331555,357.5039,970.47455,0.7395607,370.9458,973.22906,0.8819986,416.7605,1071.3665,0.8030312,416.3042,1074.9001,0.9379015,391.06964,1179.2661,0.86973995,390.6593,1188.2148,0.9600612
441.7462,799.053,0.9734318,438.06534,791.4243,0.914472,436.52835,790.8833,0.9808048,408.96988,798.42883,0.7902303,420.4741,796.31213,0.9623946,387.9429,839.40857,0.8714132,411.03555,836.203,0.9340551,355.94583,908.2345,0.7211845,388.6733,903.4623,0.98137313,328.3389,966.3678,0.7559657,368.10062,974.15674,0.9432194,356.03317,973.0835,0.754359,374.37033,976.2467,0.79651093,412.1967,1073.3453,0.84830844,417.538,1074.8394,0.9375081,390.28726,1181.0677,0.91858464,390.55228,1188.3988,0.96398795
445.9301,801.63586,0.94354916,442.21454,794.2455,0.91234004,440.93365,793.86804,0.97418153,411.88812,802.7654,0.7464232,424.80035,801.06335,0.9881362,388.95062,840.2461,0.8728231,414.85394,841.5658,0.95604837,344.1966,892.3368,0.8316317,375.5357,892.2925,0.85567784,290.4212,929.8529,0.9311354,334.35962,947.22974,0.9068418,350.96643,972.3793,0.763117,368.9865,975.91394,0.8659493,413.89532,1069.8983,0.81730354,419.57428,1071.7931,0.9273196,389.29333,1178.3104,0.86341095,390.91626,1186.0765,0.92708015
