2+,0,65,
175-left_mirrored.mov,1080,1920,58.0
135-right.mov,1920,1080,56.0
244-right.mov,1080,1920,49.0
19-right.mp4,1280,720,48.0
306-right.mov,1080,1920,51.0
68-right_mirrored.mp4,1920,1080,51.0
82-left_mirrored.mp4,1920,1080,50.0
165-left_mirrored.mov,1080,1920,49.0
292-left.mov,1080,1920,43.0
262-right.mov,1080,1920,62.0
36-right_mirrored.mp4,886,1920,51.0
167-left.mov,1080,1920,44.0
290-left.mov,1080,1920,51.0
47-right_mirrored.mp4,1080,1720,53.0
215-left.mov,1920,1080,60.0
63-right_mirrored.mp4,1920,1080,51.0
23-left_mirrored.mp4,720,1280,52.0
39-right.mov,886,1920,54.0
64-right.mp4,1920,1080,51.0
183-left.mov,1080,1920,55.0
142-right.mov,1080,1920,51.0
16-right_mirrored.mp4,1280,720,45.0
48-left.mp4,1920,1080,49.0
96-right_mirrored.mp4,886,1920,41.0
84-left_mirrored.mov,886,1920,51.0
218-left.mov,1920,1080,60.0
149-right.mov,1920,1080,59.0
62-right_mirrored.mp4,1920,1080,54.0
23-left.mp4,720,1280,52.0
39-right_mirrored.mov,886,1920,54.0
94-left_mirrored.mp4,1920,1080,41.0
4-left.mp4,1920,1080,48.0
143-right_mirrored.mov,1080,1920,62.0
102-left_mirrored.mp4,720,1280,58.0
120-left.mp4,1080,2340,28.0
236-right_mirrored.mov,1080,1920,48.0
91-left_mirrored.mp4,1920,1080,51.0
276-right_mirrored.mov,1080,1920,45.0
67-left.mov,886,1920,50.0
94-left.mp4,1920,1080,41.0
12-left_mirrored.mp4,1920,1080,51.0
179-left_mirrored.mov,1080,1920,45.0
62-right.mp4,1920,1080,54.0
93-left_mirrored.mp4,1920,1080,52.0
242-right_mirrored.mov,1080,1920,56.0
273-right.mov,1080,1920,51.0
302-right.mov,1080,1920,47.0
137-right_mirrored.mov,1080,1920,57.0
20-left_mirrored.mp4,1920,1080,45.0
245-right.mov,1080,1920,56.0
9-left.mp4,1920,1080,47.0
209-right_mirrored.mov,1920,1080,56.0
296-right.mov,1080,1920,45.0
166-left.mov,1080,1920,46.0
205-right.mp4,1920,1080,24.0
95-right_mirrored.mp4,886,1920,50.0
72-right_mirrored.mp4,1920,1080,54.0
104-left.mp4,720,1280,54.0
160-right_mirrored.mp4,1080,1920,56.0
287-right_mirrored.mov,1080,1920,46.0
168-left.mov,1080,1920,46.0
285-right_mirrored.mov,1080,1920,46.0
234-right.mov,1080,1920,47.0
200-left.mov,1080,1920,24.0
169-left_mirrored.mov,1080,1920,51.0
2-,0,51,
5-left_mirrored.mp4,1920,1080,48.0
7-left.mp4,1920,1080,50.0
258-right.mov,1080,1920,50.0
87-left.mov,960,982,43.0
301-left.mov,1080,1920,51.0
225-left.mov,1080,1920,63.0
259-right.mov,1080,1920,47.0
88-left_mirrored.mov,960,982,44.0
73-left.mp4,1080,1226,50.0
293-right.mov,1080,1920,37.0
6-left_mirrored.mp4,1920,1080,46.0
299-right.mov,1080,1920,53.0
301-left_mirrored.mov,1080,1920,51.0
86-left.mov,960,982,48.0
226-left_mirrored.mov,1080,1920,54.0
86-left_mirrored.mov,960,982,48.0
6-left.mp4,1920,1080,46.0
298-right.mov,1080,1920,44.0
258-right_mirrored.mov,1080,1920,50.0
294-right.mov,1080,1920,39.0
54-right.mp4,1920,1080,37.0
85-left_mirrored.mov,960,982,43.0
88-left.mov,960,982,44.0
299-right_mirrored.mov,1080,1920,53.0
8-left_mirrored.mp4,1920,1080,52.0
259-right_mirrored.mov,1080,1920,48.0
260-left_mirrored.mov,1080,1920,48.0
170-right.mov,1920,1080,50.0
119-left.mp4,886,1920,46.0
222-left_mirrored.mov,1080,1920,43.0
294-right_mirrored.mov,1080,1920,39.0
171-right_mirrored.mov,1920,1080,56.0
162-right_mirrored.mov,1080,1920,40.0
73-left_mirrored.mp4,1080,1226,50.0
71-right.mp4,1920,1080,46.0
224-left.mov,1080,1920,54.0
298-right_mirrored.mov,1080,1920,44.0
119-left_mirrored.mp4,886,1920,46.0
7-left_mirrored.mp4,1920,1080,50.0
85-left.mov,960,982,43.0
71-right_mirrored.mp4,1920,1080,46.0
260-left.mov,1080,1920,48.0
293-right_mirrored.mov,1080,1920,38.0
87-left_mirrored.mov,960,982,43.0
225-left_mirrored.mov,1080,1920,63.0
226-left.mov,1080,1920,54.0
162-right.mov,1080,1920,40.0
300-right_mirrored.mov,1080,1920,48.0
8-left.mp4,1920,1080,52.0
224-left_mirrored.mov,1080,1920,54.0
5-left.mp4,1920,1080,48.0
